ingredient,risk,function,side_effects
phytolacca bogotensis leaf extract,Safe,Natural/conditioning,Generally safe
phytolacca decandra extract,Safe,Natural/conditioning,Generally safe
phytosphingosine acetamide,Safe,General,No known major side effects
phytosphingosine ascorbate,Safe,General,No known major side effects
phytosphingosine cyclic phosphate hcl,Safe,General,No known major side effects
phytosphingosine glycolate,Moderate,Solvent/active,Possible irritation or dryness
phytosphingosine lactate,Safe,General,No known major side effects
phytosphingosine pca,Safe,General,No known major side effects
phytosphingosine phosphate,Safe,General,No known major side effects
phytosteryl/behenyl dimer dilinoleate,Safe,General,No known major side effects
phytosteryl/decyltetradecyl myristoyl methyl beta-alaninate,Safe,General,No known major side effects
phytosteryl butyrate,Safe,General,No known major side effects
phytosteryl canolate,Safe,General,No known major side effects
phytosteryl caprylate/caprate,Safe,General,No known major side effects
phytosteryl glucoside,Safe,General,No known major side effects
phytosteryl glucoside/glucosylceramide,Safe,General,No known major side effects
phytosteryl linoleate,Safe,General,No known major side effects
phytosteryl linoleate/linolenate,Safe,General,No known major side effects
phytosteryl nonanoate,Safe,General,No known major side effects
phytosteryl rice branate,Safe,General,No known major side effects
phytosteryl ricinoleate,Safe,General,No known major side effects
picea abies bud extract,Safe,Natural/conditioning,Generally safe
picea abies leaf cell extract,Safe,Natural/conditioning,Generally safe
picea abies leaf extract,Safe,Natural/conditioning,Generally safe
picea abies leaf oil,Safe,Natural/conditioning,Generally safe
picea abies wood extract,Safe,Natural/conditioning,Generally safe
picea glauca bark extract,Safe,Natural/conditioning,Generally safe
picea glauca branch/leaf oil,Safe,Natural/conditioning,Generally safe
picea glauca leaf extract,Safe,Natural/conditioning,Generally safe
picea glehnii needle oil,Safe,Natural/conditioning,Generally safe
picea glehnii needle water,Safe,General,No known major side effects
picea mariana bark extract,Safe,Natural/conditioning,Generally safe
picea mariana bark powder,Safe,General,No known major side effects
picea mariana branch/leaf oil,Safe,Natural/conditioning,Generally safe
picea mariana leaf extract,Safe,Natural/conditioning,Generally safe
picea obovata needle extract,Safe,Natural/conditioning,Generally safe
piceatannol,Safe,General,No known major side effects
pichia/osajin ferment extract,Safe,Natural/conditioning,Generally safe
pichia/panax ginseng root ferment filtrate,Safe,General,No known major side effects
pichia/pomiferin ferment extract,Safe,Natural/conditioning,Generally safe
pichia/retinol ferment extract,Safe,Natural/conditioning,Generally safe
pichia/r-leucosporidium polypeptide-1 conditioned media,Safe,General,No known major side effects
pichia/safflower flower ferment filtrate,Safe,General,No known major side effects
pichia/sea salt ferment extract,Safe,Natural/conditioning,Generally safe
pichia anomala extract,Safe,Natural/conditioning,Generally safe
pichia caribbica ferment,Safe,General,No known major side effects
pichia extract,Safe,Natural/conditioning,Generally safe
pichia ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pichia ferment lysate filtrate,Safe,General,No known major side effects
pichia heedii extract,Safe,Natural/conditioning,Generally safe
pichia minuta extract,Safe,Natural/conditioning,Generally safe
pichia pastoris/soybean seed ferment lysate extract filtrate,Safe,Natural/conditioning,Generally safe
pichia pastoris ferment filtrate,Safe,General,No known major side effects
pichia r-sh-polypeptide-19 ferment extract filtrate,Safe,Natural/conditioning,Generally safe
pichia r-sh-polypeptide-1 ferment extract filtrate,Safe,Natural/conditioning,Generally safe
picolinamide,Safe,General,No known major side effects
picramic acid,Moderate,Solvent/active,Possible irritation or dryness
picrasma excelsa wood extract,Safe,Natural/conditioning,Generally safe
picrasma quassioides fruit extract,Safe,Natural/conditioning,Generally safe
picrasma quassioides wood extract,Safe,Natural/conditioning,Generally safe
picrorhiza kurrooa rhizome/root extract,Safe,Natural/conditioning,Generally safe
pidobenzone,Safe,General,No known major side effects
pig adipocyte conditioned media,Safe,General,No known major side effects
pig adipose stromal cell conditioned media,Safe,General,No known major side effects
pig dental pulp cell conditioned media,Safe,General,No known major side effects
pigment blue 15:1,Safe,General,No known major side effects
pigment blue 27,Safe,General,No known major side effects
pigment green 7,Safe,General,No known major side effects
pigment orange 5,Safe,General,No known major side effects
pigment red 112,Safe,General,No known major side effects
pigment red 172 aluminum lake,Safe,General,No known major side effects
pigment red 190,Safe,General,No known major side effects
pigment red 4,Safe,General,No known major side effects
pigment red 48,Safe,General,No known major side effects
pigment red 5,Safe,General,No known major side effects
pigment red 53,Safe,General,No known major side effects
pigment red 57,Safe,General,No known major side effects
pigment red 57:1,Safe,General,No known major side effects
pigment red 63:1,Safe,General,No known major side effects
pigment red 83,Safe,General,No known major side effects
pigment red 88,Safe,General,No known major side effects
pigment red 90:1 aluminum lake,Safe,General,No known major side effects
pigment violet 19,Safe,General,No known major side effects
pigment violet 23,Safe,General,No known major side effects
pigment yellow 12,Safe,General,No known major side effects
pigment yellow 13,Safe,General,No known major side effects
pigment yellow 73,Safe,General,No known major side effects
pig platelets,Safe,General,No known major side effects
pigskin extract,Safe,Natural/conditioning,Generally safe
pilocarpus microphyllus leaf extract,Safe,Natural/conditioning,Generally safe
pilocarpus pennatifolius leaf extract,Safe,Natural/conditioning,Generally safe
pimenta acris fruit extract,Safe,Natural/conditioning,Generally safe
pimenta acris leaf oil,Safe,Natural/conditioning,Generally safe
pimenta acris leaf powder,Safe,General,No known major side effects
pimenta acris leaf water,Safe,General,No known major side effects
pimenta dioica fruit extract,Safe,Natural/conditioning,Generally safe
pimenta dioica leaf extract,Safe,Natural/conditioning,Generally safe
pimenta officinalis fruit extract,Safe,Natural/conditioning,Generally safe
pimenta officinalis leaf oil,Safe,Natural/conditioning,Generally safe
pimenta racemosa fruit leaf extract,Safe,Natural/conditioning,Generally safe
pimenta racemosa leaf/fruit oil,Safe,Natural/conditioning,Generally safe
pimpinella anisum fruit extract,Safe,Natural/conditioning,Generally safe
pimpinella anisum fruit oil,Safe,Natural/conditioning,Generally safe
pimpinella anisum fruit water,Safe,General,No known major side effects
pimpinella anisum seed extract,Safe,Natural/conditioning,Generally safe
pimpinella anisum seed oil,Safe,Natural/conditioning,Generally safe
pimpinella brachycarpa extract,Safe,Natural/conditioning,Generally safe
pimpinella brachycarpa leaf extract,Safe,Natural/conditioning,Generally safe
pimpinella gustavohegiana extract,Safe,Natural/conditioning,Generally safe
pimpinella saxifraga extract,Safe,Natural/conditioning,Generally safe
pinacol,Safe,General,No known major side effects
pinanal,Safe,General,No known major side effects
pinane carbaldehyde,Safe,General,No known major side effects
pinanediol,Safe,General,No known major side effects
pinanyl methyl ketone,Safe,General,No known major side effects
pineamidopropyl betaine,Safe,General,No known major side effects
pineapple fruit extract beta-glucan,Safe,Natural/conditioning,Generally safe
pinellia ternata callus culture conditioned media,Safe,General,No known major side effects
pinellia ternata callus extract,Safe,Natural/conditioning,Generally safe
pinellia ternata extract,Safe,Natural/conditioning,Generally safe
pinellia ternata root extract,Safe,Natural/conditioning,Generally safe
pinellia ternata tuber extract,Safe,Natural/conditioning,Generally safe
pinus banksiana bark extract,Safe,Natural/conditioning,Generally safe
pinus bungeana leaf extract,Safe,Natural/conditioning,Generally safe
pinus cembra leaf/twig oil,Safe,Natural/conditioning,Generally safe
pinus cembra twig leaf extract,Safe,Natural/conditioning,Generally safe
pinus cembra twig leaf extract acetylated,Safe,Natural/conditioning,Generally safe
pinus cembra twig leaf oil,Safe,Natural/conditioning,Generally safe
pinus cembra wood extract,Safe,Natural/conditioning,Generally safe
pinus densiflora bark,Safe,General,No known major side effects
pinus densiflora bark extract,Safe,Natural/conditioning,Generally safe
pinus densiflora branch/leaf extract,Safe,Natural/conditioning,Generally safe
pinus densiflora callus extract,Safe,Natural/conditioning,Generally safe
pinus densiflora leaf/sugar ferment filtrate,Safe,General,No known major side effects
pinus densiflora leaf extract,Safe,Natural/conditioning,Generally safe
pinus densiflora leaf powder,Safe,General,No known major side effects
pinus densiflora root extract,Safe,Natural/conditioning,Generally safe
pinus densiflora seed extract,Safe,Natural/conditioning,Generally safe
pinus densiflora seed oil,Safe,Natural/conditioning,Generally safe
pinus halepensis branch/leaf oil,Safe,Natural/conditioning,Generally safe
pinus halepensis needle extract,Safe,Natural/conditioning,Generally safe
pinus halepensis seed oil,Safe,Natural/conditioning,Generally safe
pinus heldreichii bark extract,Safe,Natural/conditioning,Generally safe
pinus koraiensis callus culture extract,Safe,Natural/conditioning,Generally safe
pinus koraiensis cone extract,Safe,Natural/conditioning,Generally safe
pinus koraiensis needle extract,Safe,Natural/conditioning,Generally safe
pinus koraiensis seed extract,Safe,Natural/conditioning,Generally safe
pinus koraiensis shell extract,Safe,Natural/conditioning,Generally safe
pinus korainsis callus culture extract,Safe,Natural/conditioning,Generally safe
pinus lambertiana wood extract,Safe,Natural/conditioning,Generally safe
pinus lauricio branch/leaf oil,Safe,Natural/conditioning,Generally safe
pinus lauricio leaf oil,Safe,Natural/conditioning,Generally safe
pinus longifolia wood extract,Safe,Natural/conditioning,Generally safe
pinus mugo leaf oil,Safe,Natural/conditioning,Generally safe
pinus mugo pumilio twig leaf extract,Safe,Natural/conditioning,Generally safe
pinus mugo pumilio twig leaf oil,Safe,Natural/conditioning,Generally safe
pinus mugo twig leaf extract,Safe,Natural/conditioning,Generally safe
pinus mugo twig oil,Safe,Natural/conditioning,Generally safe
pinus nigra bark extract,Safe,Natural/conditioning,Generally safe
pinus nigra bud/needle extract,Safe,Natural/conditioning,Generally safe
pinus nigra twig leaf extract,Safe,Natural/conditioning,Generally safe
pinus nigra twig leaf oil,Safe,Natural/conditioning,Generally safe
pinus palustris oil,Safe,Natural/conditioning,Generally safe
